Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
51B0230,433936,428874
51B0349,430076,433872
51B0349,430076,433872
51B0349,430076,433872
51B0349,430076,433872
51B0349,430076,433872
51B0632,428627,432517
51B0975,424572,434438
51B1212,423190,434659
51B1241,431320,433911
51B1288,431791,434652
51B1315,430859,433470
51B1329,429654,433388
51C0703,432273,434581
51C1211,428411,435013
51C1909,427787,436484
51D0387,422306,445990
51D0810,426292,428015
51D1266,431346,433945
47I1326,431902,434864
4971519,421169,440497
4981404,429857,434402
4981404,429857,434402
4981404,429857,434402
5110140,433820,433502
5110577,430660,430766
5110577,430660,430766
5110577,430660,430766
5111304,431442,432717
5111365,429509,431308
5111365,429509,431308
5111365,429509,431308
5111443,428444,431338
5111450,428952,433434
5111461,428919,429888
5111524,425627,438001
5111524,425627,438001
5130351,425035,427720
5130478,429772,434647
5130621,432664,436931
5131385,427965,430292
5131497,424059,428048
5131497,424059,428048
5131497,424059,428048
5131860,426288,435692
5140317,431354,433969
5140764,426268,435815
5141403,431273,433825
5141435,431843,435796
5141464,434885,437921
5141464,434885,437921
5141687,431615,435268
5150878,430689,431925
5150878,430689,431925
5150988,431267,429674
5151211,429886,435210
5151365,430517,433712
5151365,430517,433712
5151410,424127,444006
5151410,424127,444006
5151410,424127,444006
5151432,422253,437288
5151459,439062,433978
5160107,429246,433955
5160854,422486,433074
5160883,432350,426044
5160883,432350,426044
5161450,431190,433664
5161450,431190,433664
5170291,428838,436574
5170529,426459,433842
5180252,433999,435142
5180490,422879,439315
5180563,426646,441800
5180563,426646,441800
5180709,420161,445804
5181139,429866,433412
5181330,431467,432552
5190310,424495,439140
5190724,418175,442474
5191140,429444,437311
5191266,424095,428091
51A0320,437768,432613
51A0334,435577,437891
51A0699,430907,432292
51A0945,437793,432383
51A1086,426484,432010
51A1433,432499,434064
51A1551,430944,436531
51A1895,421988,436527
51A1895,421988,436527
51E1008,431297,429122
51E1227,426521,435648
51E1717,430241,434626
51E1843,430404,428108
51F0205,435288,434836
51F0848,434197,434279
51F1050,429906,436509
51F1547,427741,436460
51G0154,430754,439227
51G0377,426759,427947
51G1228,420333,445551
51G1247,428405,432473
51G1268,431010,428483
51G1332,427732,425798
51G1508,425482,438746
51G1876,432513,427318
51G2091,432405,426229
51H0354,425900,434497
51H0915,439344,432363
51H1013,433394,435105
51H1034,431434,431599
51H1037,430874,433376
51I0259,426643,433874
51I0448,419531,441575
51I0448,419531,441575
51I0504,430770,433453
51I0504,430770,433453
51I0890,437771,433085
51I0890,437771,433085
51I0890,437771,433085
51I1124,431970,435825
51I1440,424278,428348
51J0246,431048,433059
51J0285,430951,429996
51J1698,434529,435517
51J2063,431421,432409
51K0068,424235,428163
51K0227,429702,431348
51K0227,429702,431348
51K0227,429702,431348
51K0227,429702,431348
51K0227,429702,431348
51K1256,430411,439579
51K1556,431091,432229
51L0609,431753,434603
51L0802,421533,445877
51L0802,421533,445877
51L0845,428805,425807
51L0977,426978,430296
51M0731,431803,431377
51M1160,430782,438592
51M1215,433816,434551
51M1215,433816,434551
